source,target,origin
CCL19,CCR7,stMLnet
CCL19,CCRL2,stMLnet
CCL19,CXCR3,stMLnet
CCL2,ACKR1,stMLnet
CCL2,ACKR2,stMLnet
CCL2,ACKR4,stMLnet
CCL2,CCR1,stMLnet
CCL2,CCR10,stMLnet
CCL2,CCR2,stMLnet
CCL2,CCR3,stMLnet
CCL2,CCR4,stMLnet
CCL2,CCR5,stMLnet
CCL20,ACKR4,stMLnet
CCL20,CCR6,stMLnet
CCL20,CXCR3,stMLnet
CCL21,ACKR2,stMLnet
CCL21,ACKR4,stMLnet
CCL21,CCR10,stMLnet
CCL21,CCR7,stMLnet
CCL21,CXCR3,stMLnet
CCL22,ACKR2,stMLnet
CCL22,CCR4,stMLnet
CCL23,CCR1,stMLnet
CCL24,ACKR2,stMLnet
CCL24,CCR2,stMLnet
CCL24,CCR3,stMLnet
CCL25,ACKR2,stMLnet
CCL25,ACKR4,stMLnet
CCL25,CCR10,stMLnet
CCL25,CCR9,stMLnet
CCL26,ACKR2,stMLnet
CCL26,CCR1,stMLnet
CCL26,CCR2,stMLnet
CCL26,CCR3,stMLnet
CCL26,CX3CR1,stMLnet
CCL27,ACKR2,stMLnet
CCL27,CCR10,stMLnet
CCL27,CCR2,stMLnet
CCL27,CCR3,stMLnet
CCL28,ACKR2,stMLnet
CCL28,CCR10,stMLnet
CCL28,CCR3,stMLnet
CCL3,ACKR2,stMLnet
CCL3,CCR1,stMLnet
CCL3,CCR3,stMLnet
CCL3,CCR4,stMLnet
CCL3,CCR5,stMLnet
CCL3L1,ACKR2,stMLnet
CCL3L1,CCR1,stMLnet
CCL3L1,CCR3,stMLnet
CCL3L1,CCR5,stMLnet
CCL3L3,ACKR2,stMLnet
CCL3L3,CCR1,stMLnet
CCL3L3,CCR5,stMLnet
CCL4,ACKR2,stMLnet
CCL4,CCR1,stMLnet
CCL4,CCR3,stMLnet
CCL4,CCR5,stMLnet
CCL4,CCR8,stMLnet
CCL4L1,CCR1,stMLnet
CCL4L1,CCR3,stMLnet
CCL4L1,CCR5,stMLnet
CCL5,ACKR1,stMLnet
CCL5,ACKR2,stMLnet
CCL5,CCR1,stMLnet
CCL5,CCR3,stMLnet
CCL5,CCR4,stMLnet
CCL5,CCR5,stMLnet
CCL5,CXCR3,stMLnet
CCL5,SDC1,stMLnet
CCL5,SDC4,stMLnet
CCL7,ACKR1,stMLnet
CCL7,ACKR2,stMLnet
CCL7,ACKR4,stMLnet
CCL7,CCR1,stMLnet
CCL7,CCR10,stMLnet
CCL7,CCR2,stMLnet
CCL7,CCR3,stMLnet
CCL7,CCR5,stMLnet
CCL7,CXCR3,stMLnet
CCL8,ACKR1,stMLnet
CCL8,ACKR2,stMLnet
CCL8,ACKR4,stMLnet
CCL8,CCR1,stMLnet
CCL8,CCR2,stMLnet
CCL8,CCR3,stMLnet
CCL8,CCR5,stMLnet
CCL8,CCR8,stMLnet
CCN1,ITGA5,stMLnet
CCN1,ITGAM,stMLnet
CCN1,ITGAV,stMLnet
CCN1,ITGB2,stMLnet
CCN1,ITGB3,stMLnet
CCN1,ITGB5,stMLnet
CCN1,SDC4,stMLnet
CCN2,FGFR2,stMLnet
CCN2,IGF2R,stMLnet
CCN2,ITGA5,stMLnet
CCN2,ITGAM,stMLnet
CCN2,ITGB2,stMLnet
CCN2,LRP1,stMLnet
CCN2,LRP6,stMLnet
CCN2,NTRK1,stMLnet
CCN3,NOTCH1,stMLnet
CCN4,ITGA5,stMLnet
CCN4,ITGB1,stMLnet
CD14,ITGA4,stMLnet
CD14,ITGB1,stMLnet
CD160,TNFRSF14,stMLnet
CD2,CD48,stMLnet
CD200,CD200R1,stMLnet
CD200R1,CD200,stMLnet
CD209,ICAM3,stMLnet
CD22,PTPRC,stMLnet
CD226,NECTIN2,stMLnet
CD226,PVR,stMLnet
CD24,SELP,stMLnet
CD244,CD48,stMLnet
CD274,CD80,stMLnet
CD274,PDCD1,stMLnet
CD34,SELE,stMLnet
CD34,SELL,stMLnet
CD34,SELP,stMLnet
CD38,PECAM1,stMLnet
CD40,CD40LG,stMLnet
CD40LG,CD40,stMLnet
CD40LG,ITGA2B,stMLnet
CD40LG,ITGA5,stMLnet
CD40LG,ITGAM,stMLnet
CD40LG,ITGB1,stMLnet
CD40LG,ITGB2,stMLnet
CD40LG,ITGB3,stMLnet
CD40LG,TRAF3,stMLnet
CD44,SELE,stMLnet
CD46,JAG1,stMLnet
CD47,SIRPA,stMLnet
CD47,SIRPG,stMLnet
CD55,ADGRE5,stMLnet
CD59,CD2,stMLnet
CD6,ALCAM,stMLnet
CD80,CD274,stMLnet
CD80,CD28,stMLnet
CD80,CTLA4,stMLnet
CD86,CD28,stMLnet
CD86,CTLA4,stMLnet
CD9,L1CAM,stMLnet
CD96,NECTIN1,stMLnet
CD96,PVR,stMLnet
CD99,CD99,stMLnet
CD99,PILRA,stMLnet
CD99,PILRB,stMLnet
CDH15,CDH15,stMLnet
CDH2,CDH2,stMLnet
CDH3,CDH3,stMLnet
CDH4,CDH4,stMLnet
CDH5,CDH5,stMLnet
CEACAM1,CD209,stMLnet
CEACAM1,HAVCR2,stMLnet
CEACAM1,SELE,stMLnet
CEACAM5,CD1D,stMLnet
CEACAM5,CD8A,stMLnet
CEACAM6,CEACAM8,stMLnet
CEACAM8,CEACAM1,stMLnet
CEL,CXCR4,stMLnet
CELA3B,CHRM3,stMLnet
CFH,ITGAM,stMLnet
CFH,SELL,stMLnet
CFP,NCR1,stMLnet
CGA,FSHR,stMLnet
CGA,LHCGR,stMLnet
CGA,SIRPA,stMLnet
CGA,TSHR,stMLnet
CGB,LHCGR,stMLnet
CGB3,LHCGR,stMLnet
CGB8,SIRPA,stMLnet
CGN,F11R,stMLnet
CGN,OCLN,stMLnet
CGN,TGFBR1,stMLnet
